ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9300WMR1,,,,Westminster Pier,,,,,,Off Victoria Embankment,,,,Quay,,,E0034961,Westminster,London,,,,,,0,U,530365,179767,-0.123184049,51.50181465,FBT,,,,,,146,2010-12-03T18:53:00,2013-07-25T15:22:00,3,rev,act
9300WMR2,,,,Westminster Pier,,,,,,Off Victoria Embankment,,,,Quay,,,E0034961,Westminster,London,,,,,,0,U,530350,179767,-0.123400034,51.5018181,FBT,,,,,,146,2016-03-11T15:32:00,2016-03-11T15:36:00,1,rev,act
9300WMR3,,,,Westminster Pier,,,,,,Off Victoria Embankment,,,,Quay,,,E0034961,Westminster,London,,,,,,0,U,530353,179767,-0.123356837,51.50181741,FBT,,,,,,146,2016-03-11T15:33:00,2016-03-11T15:36:00,1,rev,act
9300WMR4,,,,Westminster Pier,,,,,,Off Victoria Embankment,,,,Quay,,,E0034961,Westminster,London,,,,,,0,U,530356,179767,-0.12331364,51.50181672,FBT,,,,,,146,2016-03-11T15:34:00,2016-03-11T15:36:00,1,rev,act
9300WMR5,,,,Westminster Pier,,,,,,Off Victoria Embankment,,,,Quay,,,E0034961,Westminster,London,,,,,,0,U,530359,179767,-0.123270443,51.50181603,FBT,,,,,,146,2016-03-11T15:34:00,2016-03-11T15:36:00,1,rev,act
9300WMR6,,,,Westminster Pier,,,,,,Off Victoria Embankment,,,,Quay,,,E0034961,Westminster,London,,,,,,0,U,530362,179767,-0.123227246,51.50181534,FBT,,,,,,146,2016-03-11T15:35:00,2016-03-11T15:36:00,1,rev,act
9400ZZLUWSM,,,,Westminster Underground Station,,,,TBA,,-,,,,,,,E0034961,Westminster,London,,,,,,0,U,530250,179709,-0.12486133,51.50131991,MET,,,,,,147,2005-09-26T00:00:00,2007-09-26T09:00:00,1,rev,act
9400ZZLUWSM1,,,,Westminster Underground Station,,,,,,-,,,,,,,E0034961,Westminster,London,,,,,,0,U,530249,179705,-0.124877204,51.50128419,PLT,,,,,,147,2006-02-15T00:00:00,2007-09-26T09:00:00,2,rev,act
9400ZZLUWSM2,,,,Westminster Underground Station,,,,,,-,,,,,,,E0034961,Westminster,London,,,,,,0,U,530252,179694,-0.124838065,51.50118465,PLT,,,,,,147,2006-02-15T00:00:00,2007-09-26T09:00:00,2,rev,act
9400ZZLUWSM3,,,,Westminster Underground Station,,,,,,-,,,,,,,E0034961,Westminster,London,,,,,,0,U,530257,179674,-0.124773449,51.50100376,PLT,,,,,,147,2006-02-15T00:00:00,2007-09-26T09:00:00,2,rev,act
9400ZZLUWSM4,,,,Westminster Underground Station,,,,,,-,,,,,,,E0034961,Westminster,London,,,,,,0,U,530246,179674,-0.124931835,51.5010063,PLT,,,,,,147,2006-02-15T00:00:00,2007-09-26T09:00:00,2,rev,act
